"Second step has no custom comment, method is printed","La deuxième étape n'a pas de commentaire, la méthode est affichée"
"Something is wrong but we continue process","Quelque chose n'a pas fonctionné mais nous continuons l'import"
"Something is wrong, now we stop import","Quelque chose n'a pas fonctionné, nous arrêtons l'import"
"Demo","Démo"
"First step","Première étape"
"Second step","Deuxième étape"
"Third step","Troisième étape"
"Fourth step","Quatrième étape"
